ID;nome;descricao;preco;estoque;imagemURL;createdAt;createdBy;modifiedAt;modifiedBy
f0e1d2c3-b4a5-6789-0123-456789abcde1;Jaqueta Corta-Vento;Jaqueta leve e resistente ao vento, ideal para esportes;179.90;65;https://imgnike-a.akamaihd.net/768x768/02216451.jpg;2024-01-20T10:15:00Z;admin;2024-01-20T10:15:00Z;admin
0a1b2c3d-4e5f-6a7b-8c9d-0e1f2a3b4c52;Caneca Térmica Inox;Caneca térmica para bebidas quentes e frias, 450ml;79.50;110;https://images.tcdn.com.br/img/img_prod/993134/caneca_aco_inox_termica_com_tampa_400ml_153_1_71a2dce78cb9924d7092a0da89feef08.jpg;2024-01-21T11:00:00Z;admin;2024-01-21T11:00:00Z;admin
1b2c3d4e-5f6a-7b8c-9d0e-1f2a3b4c5d63;Carteira Masculina Slim;Carteira compacta de couro com porta cartões;69.90;95;https://acdn-us.mitiendanube.com/stores/001/060/926/products/s287f6086638c41ada3cc39574562a8d5k-a86156e84688da2e5d16856540624212-1024-1024.jpg;2024-01-22T13:30:00Z;admin;2024-01-22T13:30:00Z;admin
2c3d4e5f-6a7b-8c9d-0e1f-2a3b4c5d6e74;Cadeira Gamer Ergonômica;Cadeira gamer com ajuste de altura e encosto reclinável;899.90;20;https://a-static.mlcdn.com.br/800x560/cadeira-gamer-otello-preto-e-vermelho/magazineluiza/237019000/b3fc5faf334ec8354d4177f54df4e87a.jpg;2024-01-23T15:45:00Z;admin;2024-01-23T15:45:00Z;admin
3d4e5f6a-7b8c-9d0e-1f2a-3b4c5d6e7f85;Luminária de Mesa LED;Luminária articulável com controle de intensidade;99.00;70;https://ae01.alicdn.com/kf/H58a74c80ef154af4a62c90e6e0702f7fk.jpg;2024-01-24T09:00:00Z;admin;2024-01-24T09:00:00Z;admin
4e5f6a7b-8c9d-0e1f-2a3b-4c5d6e7f8a96;Shorts de Academia Feminino;Shorts confortável para treinos, tecido leve;75.00;85;https://http2.mlstatic.com/D_NQ_NP_930211-MLB84619526862_052025-O-shorts-academia-feminino-shortinho-fitness-do-p-a-plus-size.webp;2024-01-25T10:30:00Z;admin;2024-01-25T10:30:00Z;admin
5f6a7b8c-9d0e-1f2a-3b4c-5d6e7f8b9b07;Mouse Sem Fio Ergonômico;Mouse óptico sem fio com design vertical para conforto;135.00;55;https://a-static.mlcdn.com.br/1500x1500/mouse-sem-fio-ms200-usb-1200dpi-3-botoes-design-ergonomico-preto-multi-mo251/obaboxtecnologia/10024374/fd8e4fcebe39a34d1655ee84799c189c.jpeg;2024-01-26T11:45:00Z;admin;2024-01-26T11:45:00Z;admin
6a7b8c9d-0e1f-2a3b-4c5d-6e7f8c9c0c18;Tapete de Yoga Antiderrapante;Tapete para prática de yoga e pilates, material TPE;119.90;60;https://megagym.com.br/cdn/shop/files/TAPETE-EVA-YOGA-100X50X10-9.jpg?v=1744292779;2024-01-27T14:00:00Z;admin;2024-01-27T14:00:00Z;admin
7b8c9d0e-1f2a-3b4c-5d6e-7f8d9d1d2d29;Garrafa de Água Motivacional;Garrafa de 1 litro com marcações de tempo e frases;49.90;150;https://thingsinbox.com/cdn/shop/products/Sd364064afaaa494ba6e27d3d2112a85f1.jpg?v=1671130549;2024-01-28T15:15:00Z;admin;2024-01-28T15:15:00Z;admin
8c9d0e1f-2a3b-4c5d-6e7f-8e9e0e1e2e3a;Hub USB-C 7 em 1;Adaptador multipostas com HDMI, USB 3.0, Leitor de Cartão;189.00;30;https://m.media-amazon.com/images/I/61-DvAAuS7L._AC_UF1000,1000_QL80_.jpg;2024-01-29T09:20:00Z;admin;2024-01-29T09:20:00Z;admin
